1904.916667000	-0.16	0.35
1905.000000000	-0.13	0.54
1905.083333000	-0.08	0.62
1905.166667000	-0.06	0.58
1905.250000000	-0.09	0.51
1905.333333000	-0.07	0.52
1905.416667000	0.06	0.53
1905.500000000	0.12	0.65
1905.583333000	0.05	0.84
1905.666667000	0.04	0.89
1905.750000000	0.13	0.69
1905.833333000	0.09	0.56
1905.916667000	-0.09	0.52
1906.000000000	-0.27	0.39
1906.083333000	-0.37	0.49
1906.166667000	-0.45	0.63
1906.250000000	-0.51	0.41
1906.333333000	-0.47	0.14
1906.416667000	-0.43	0.07
1906.500000000	-0.43	0.11
1906.583333000	-0.40	-0.01
1906.666667000	-0.33	-0.41
1906.750000000	-0.26	-0.49
1906.833333000	-0.21	-0.23
1906.916667000	-0.22	-0.17
1907.000000000	-0.25	-0.21
1907.083333000	-0.22	-0.20
1907.166667000	-0.12	-0.23
1907.250000000	-0.03	-0.25
1907.333333000	-0.01	-0.20
1907.416667000	-0.03	-0.17
1907.500000000	0.05	-0.18
1907.583333000	0.17	-0.12
1907.666667000	0.23	-0.12
1907.750000000	0.22	-0.25
1907.833333000	0.17	-0.23
1907.916667000	0.13	-0.19
1908.000000000	0.13	-0.20
1908.083333000	0.13	-0.17
1908.166667000	0.15	-0.21
1908.250000000	0.20	-0.19
1908.333333000	0.23	-0.19
1908.416667000	0.14	-0.35
1908.500000000	-0.02	-0.44
1908.583333000	-0.16	-0.38
1908.666667000	-0.36	-0.36
1908.750000000	-0.59	-0.46
1908.833333000	-0.75	-0.63
1908.916667000	-0.80	-0.64
1909.000000000	-0.71	-0.53
1909.083333000	-0.64	-0.49
1909.166667000	-0.66	-0.43
1909.250000000	-0.67	-0.27
1909.333333000	-0.63	-0.25
1909.416667000	-0.62	-0.54
1909.500000000	-0.63	-0.78
1909.583333000	-0.60	-0.80
1909.666667000	-0.51	-0.81
1909.750000000	-0.43	-0.94
1909.833333000	-0.41	-1.00
1909.916667000	-0.38	-0.92
1910.000000000	-0.32	-0.86
1910.083333000	-0.30	-0.79
1910.166667000	-0.35	-0.86
1910.250000000	-0.45	-1.01
1910.333333000	-0.55	-1.06
1910.416667000	-0.66	-1.04
1910.500000000	-0.80	-0.97
1910.583333000	-0.88	-0.99
1910.666667000	-0.85	-1.09
1910.750000000	-0.79	-1.03
1910.833333000	-0.75	-0.85
1910.916667000	-0.71	-0.69
1911.000000000	-0.66	-0.54
1911.083333000	-0.61	-0.51
1911.166667000	-0.47	-0.68
1911.250000000	-0.28	-0.78
1911.333333000	-0.18	-0.71
1911.416667000	-0.14	-0.67
1911.500000000	-0.03	-0.69
1911.583333000	0.03	-0.68
1911.666667000	0.04	-0.51
1911.750000000	0.09	-0.18
1911.833333000	0.16	0.10
1911.916667000	0.23	0.24
1912.000000000	0.33	0.41
1912.083333000	0.37	0.52
1912.166667000	0.32	0.51
1912.250000000	0.28	0.34
1912.333333000	0.32	0.01
1912.416667000	0.25	-0.10
1912.500000000	-0.02	-0.05
1912.583333000	-0.38	-0.07
1912.666667000	-0.57	-0.10
1912.750000000	-0.52	-0.13
1912.833333000	-0.43	-0.18
1912.916667000	-0.42	-0.29
1913.000000000	-0.42	-0.22
1913.083333000	-0.43	0.07
1913.166667000	-0.47	0.06
1913.250000000	-0.54	-0.20
1913.333333000	-0.68	-0.34
1913.416667000	-0.77	-0.42
1913.500000000	-0.59	-0.48
1913.583333000	-0.30	-0.37
1913.666667000	-0.25	-0.20
1913.750000000	-0.29	-0.12
1913.833333000	-0.19	0.03
1913.916667000	0.00	0.12
1914.000000000	0.18	0.17
1914.083333000	0.28	0.31
1914.166667000	0.30	0.37
1914.250000000	0.28	0.36
1914.333333000	0.25	0.23
1914.416667000	0.33	0.13
1914.500000000	0.43	0.26
1914.583333000	0.42	0.40
1914.666667000	0.33	0.35
1914.750000000	0.24	0.24
1914.833333000	0.18	0.24
1914.916667000	0.14	0.34
1915.000000000	0.11	0.47
1915.083333000	0.09	0.53
1915.166667000	0.08	0.49
1915.250000000	0.12	0.44
1915.333333000	0.18	0.50
1915.416667000	0.15	0.51
1915.500000000	0.09	0.32
1915.583333000	0.12	0.20
1915.666667000	0.16	0.23
1915.750000000	0.12	0.21
1915.833333000	0.08	0.10
1915.916667000	0.11	0.05
1916.000000000	0.14	-0.02
1916.083333000	0.08	-0.14
1916.166667000	0.01	-0.14
1916.250000000	0.05	0.02
1916.333333000	0.08	0.14
1916.416667000	0.01	-0.04
1916.500000000	-0.08	-0.51
1916.583333000	-0.13	-0.89
1916.666667000	-0.14	-0.98
1916.750000000	-0.19	-0.98
1916.833333000	-0.29	-1.00
1916.916667000	-0.35	-0.94
1917.000000000	-0.38	-0.78
1917.083333000	-0.39	-0.60
1917.166667000	-0.32	-0.49
1917.250000000	-0.23	-0.50
1917.333333000	-0.25	-0.53
1917.416667000	-0.33	-0.48
1917.500000000	-0.36	-0.36
1917.583333000	-0.37	-0.29
1917.666667000	-0.38	-0.26
1917.750000000	-0.37	-0.27
1917.833333000	-0.32	-0.39
1917.916667000	-0.24	-0.50
1918.000000000	-0.19	-0.55
1918.083333000	-0.22	-0.56
1918.166667000	-0.23	-0.52
1918.250000000	-0.18	-0.45
1918.333333000	-0.14	-0.29
1918.416667000	-0.08	-0.12
1918.500000000	0.02	-0.06
1918.583333000	0.12	0.07
1918.666667000	0.22	0.31
1918.750000000	0.34	0.49
1918.833333000	0.42	0.58
1918.916667000	0.46	0.67
1919.000000000	0.48	0.76
1919.083333000	0.43	0.76
1919.166667000	0.37	0.73
1919.250000000	0.30	0.69
1919.333333000	0.23	0.59
1919.416667000	0.13	0.41
